1 0 64441.34954001301 -1.255070184862026e8 -8.297031519525473e7 3055.607221806182 15.946184392299152 -24.953005885269647 0.002332637386789423 2999.9999998077856
1 0 64441.34954001301 -1.255070184862026e8 -8.297031519525473e7 3055.607221806182 20.734996684521438 -28.40148724208776 -1.08175830108566 2999.9999998077856
1 -1 64441.34954001301 0.0, 0.0, 0.0
1 -1 64441.34954001301 0.4965572325300558 -0.30133697541521154 -0.0861037117882033
1 -1 64442.34954001301 0.4965572325300558 -0.30133697541521154 -0.0861037117882033
1 -1 64443.34954001301 0.4965572325300558 -0.30133697541521154 -0.0861037117882033
1 -1 64444.34954001301 0.4965572325300558 -0.30133697541521154 -0.0861037117882033
1 -1 64445.34954001301 0.4965572325300558 -0.30133697541521154 -0.0861037117882033
1 -1 64446.34954001301 0.4965572325300558 -0.30133697541521154 -0.0861037117882033
1 -1 64447.34954001301 0.4965572325300558 -0.30133697541521154 -0.0861037117882033
1 -1 64448.34954001301 0.4965572325300558 -0.30133697541521154 -0.0861037117882033
1 -1 64449.34954001301 0.4965572325300558 -0.30133697541521154 -0.0861037117882033
1 -1 64450.34954001301 0.4965572325300558 -0.30133697541521154 -0.0861037117882033
1 -1 64451.34954001301 0.4965572325300558 -0.30133697541521154 -0.0861037117882033
1 -1 64452.34954001301 0.4965572325300558 -0.30133697541521154 -0.0861037117882033
1 -1 64453.34954001301 0.4965572325300558 -0.30133697541521154 -0.0861037117882033
1 -1 64454.34954001301 0.4965572325300558 -0.30133697541521154 -0.0861037117882033
1 -1 64455.34954001301 0.4965572325300558 -0.30133697541521154 -0.0861037117882033
1 -1 64456.34954001301 0.4965572325300558 -0.30133697541521154 -0.0861037117882033
1 -1 64457.34954001301 0.4965572325300558 -0.30133697541521154 -0.0861037117882033
1 -1 64458.34954001301 0.4965572325300558 -0.30133697541521154 -0.0861037117882033
1 -1 64459.05800011751 0.4965572325300558 -0.30133697541521154 -0.0861037117882033
1 -1 64459.05800011751 0.0, 0.0, 0.0
1 -1 64459.05800011751 0.0, 0.0, 0.0
1 -1 64459.05800011751 0.30557749115975996 -0.11210953849501927 -0.023948258291131206
